# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
0  11  5.038  0.15  112.1884  112.1884
2  5  14.743  1.222  122.0001  122.0001
3  8  10.524  2.272  122.0  122.0
4  7  10.802  2.885  122.0  122.0
6  40  10.953  9.382  115.1344  115.1344
7  11  13.415  4.885  122.0  122.0
8  12  6.469  1.73  122.0  122.0
10  10  4.492  6.88  121.9999  121.9999
11  6  9.539  6.521  122.0001  122.0001
12  5  6.435  2.671  122.0  122.0
14  8  14.453  3.417  122.0001  122.0001
15  8  6.801  3.041  122.0  122.0
16  8  13.931  0.508  122.0001  122.0001
18  5  11.349  2.745  121.9999  121.9999
19  5  4.599  0.444  121.9999  121.9999
21  3  14.791  5.045  4.0495  4.0495
22  6  10.793  1.266  122.0  122.0
23  9  14.786  7.079  122.0001  122.0001
27  8  14.659  0.824  122.0  122.0
28  9  3.245  0.503  122.0  122.0
29  8  11.613  0.741  122.0001  122.0001
30  11  10.962  1.45  122.0  122.0
33  8  14.202  1.843  122.0001  122.0001
34  9  9.587  3.559  122.0  122.0
35  8  5.139  0.58  122.0  122.0
38  19  5.738  9.241  122.0  122.0
39  8  2.736  2.564  122.0001  122.0001
40  9  9.227  2.132  122.0  122.0
41  15  11.979  0.15  40.106  40.106
42  23  14.8  0.387  74.7903  63.6833
43  11  12.557  6.442  122.0  122.0
46  9  5.309  2.688  122.0001  122.0001
48  5  12.871  0.791  122.0  122.0
49  11  11.806  2.714  121.9999  121.9999
50  9  10.924  3.629  122.0001  122.0001
51  3  14.778  5.156  24.2617  24.2617
52  7  12.129  2.062  122.0  122.0
53  8  10.955  2.7  122.0  122.0
55  5  11.445  2.698  122.0001  122.0001
56  5  9.162  7.364  122.0  122.0
58  5  14.108  0.889  122.0  122.0
59  3  12.074  0.312  34.271  34.271
60  8  14.388  1.825  122.0  122.0
61  5  11.815  0.51  121.9999  121.9999
62  2  5.07  9.476  3.9946  3.9946
63  9  2.004  1.509  121.9999  121.9999
64  6  8.012  2.807  122.0  122.0
65  10  10.059  5.575  122.0  122.0
67  14  3.415  1.737  122.0  122.0001
68  21  14.782  1.815  17.7171  17.7171
69  8  12.668  7.624  122.0  122.0
70  7  8.722  1.518  122.0  122.0
71  6  6.953  5.44  122.0  122.0
72  6  7.845  0.869  121.9999  121.9999
74  10  8.884  4.903  122.0  122.0001
75  9  8.952  2.846  121.9999  121.9999
77  9  13.137  1.631  122.0  122.0
78  10  7.588  1.806  122.0  122.0
79  11  10.885  1.897  122.0  122.0
80  10  8.854  1.735  122.0  122.0
81  10  6.89  1.861  122.0  122.0
83  8  11.364  2.27  122.0  122.0
84  8  6.311  0.899  122.0  122.0
85  6  10.851  2.548  122.0  122.0
86  9  12.452  0.175  121.9999  121.9999
89  8  4.765  0.998  122.0001  122.0001
93  11  6.93  0.97  122.0  122.0
95  6  10.65  3.312  122.0  122.0
96  8  9.081  7.612  122.0  122.0001
98  9  14.255  0.573  121.9999  121.9999
99  6  13.913  1.861  122.0001  122.0001
102  8  9.885  3.953  122.0  122.0
103  8  5.393  0.788  122.0001  122.0001
105  9  6.789  4.248  122.0  122.0
106  5  14.144  7.133  10.3847  10.3847
107  10  9.601  4.992  122.0  122.0
109  6  13.552  5.54  122.0001  122.0001
110  5  9.438  8.068  122.0  122.0
112  6  12.28  3.668  122.0  122.0
115  7  12.993  0.202  112.1558  112.1558
116  7  10.569  0.802  121.9999  121.9999
118  6  6.484  3.475  121.9999  121.9999
120  5  6.907  7.676  122.0  122.0
121  12  14.708  5.336  122.0  122.0
122  8  5.145  7.422  121.9999  121.9999
125  6  7.616  0.431  122.0  122.0
129  8  9.618  7.799  122.0  122.0
130  8  7.672  6.314  122.0  122.0
131  8  0.94  6.059  122.0  122.0
132  8  10.581  2.125  122.0  122.0
133  7  13.276  1.291  121.9999  121.9999
136  10  13.374  1.511  122.0  122.0
139  3  1.385  0.467  29.9658  29.9658
140  5  7.908  1.067  122.0  122.0
141  11  12.313  1.329  122.0  122.0
142  6  4.853  1.06  122.0  122.0
143  3  8.499  0.277  35.9306  35.9306
146  8  9.919  7.338  122.0  122.0001
147  3  13.879  1.542  34.2347  34.2347
149  3  11.006  7.717  5.036  5.036
150  8  5.439  3.907  122.0  122.0001
152  4  11.733  0.371  69.5769  69.5769
153  8  12.016  5.357  122.0  122.0
154  11  11.278  9.1  122.0  122.0
155  6  10.42  1.738  39.7959  39.7959
156  8  2.189  0.15  122.0  122.0
157  3  9.558  6.153  10.3796  10.3796
158  17  8.468  1.611  122.0  122.0
161  9  4.467  2.525  122.0  122.0
162  8  6.601  3.29  122.0  122.0
165  11  11.482  9.792  121.9999  121.994
166  12  9.431  1.119  122.0  122.0
167  6  13.22  0.63  36.0697  36.0697
168  11  13.863  1.305  122.0  122.0
170  4  10.133  1.011  121.9999  121.9999
173  9  10.603  3.486  122.0  122.0
174  6  8.129  3.031  122.0  122.0
175  8  4.282  3.731  122.0  122.0
176  8  14.341  5.248  121.9999  121.9999
177  7  12.087  0.15  121.9999  121.9999
178  8  13.602  2.357  122.0  122.0
182  15  6.649  2.953  122.0001  122.0001
184  9  10.432  6.295  122.0  122.0001
186  5  6.591  5.949  122.0  122.0
188  6  8.101  0.85  122.0  122.0
189  11  6.599  5.731  122.0  122.0
190  5  3.374  6.777  122.0001  122.0001
191  9  9.743  4.995  122.0001  122.0001
192  5  3.265  1.309  122.0  122.0
193  9  7.441  0.15  122.0001  122.0001
194  8  11.556  3.48  121.9999  121.9999
196  10  4.464  4.09  122.0001  122.0001
197  7  4.374  4.777  122.0  122.0
198  8  6.644  4.352  122.0  122.0
199  8  8.684  1.854  122.0  122.0
200  8  12.86  4.724  122.0  122.0
201  6  12.525  2.572  122.0  122.0
202  8  8.346  5.414  121.9999  121.9999
203  11  9.654  3.009  122.0  122.0
204  9  9.71  2.683  122.0  122.0
206  3  10.007  3.246  16.8805  16.8805
208  8  12.735  1.278  121.9999  121.9999
209  5  6.329  8.05  122.0001  122.0001
