# 能谱 — noscratch — 140723 事件, 测得能量(p+读出电极波形平台)
# E_keV(bin中心)  counts_measured  counts_deposited
0.25  582  198
0.75  277  276
1.25  255  240
1.75  304  304
2.25  316  315
2.75  305  303
3.25  301  305
3.75  278  280
4.25  291  291
4.75  270  270
5.25  242  244
5.75  278  279
6.25  249  250
6.75  234  234
7.25  243  246
7.75  240  243
8.25  230  228
8.75  224  223
9.25  229  231
9.75  193  188
10.25  180  182
10.75  208  205
11.25  189  173
11.75  177  182
12.25  230  232
12.75  175  176
13.25  175  176
13.75  161  160
14.25  165  166
14.75  174  178
15.25  160  163
15.75  147  148
16.25  148  149
16.75  152  150
17.25  147  150
17.75  147  147
18.25  135  134
18.75  122  124
19.25  139  145
19.75  120  119
20.25  134  134
20.75  129  129
21.25  137  136
21.75  137  141
22.25  111  112
22.75  146  144
23.25  134  138
23.75  122  121
24.25  135  136
24.75  136  136
25.25  131  130
25.75  140  142
26.25  137  139
26.75  148  151
27.25  161  162
27.75  170  169
28.25  164  161
28.75  147  152
29.25  155  154
29.75  176  177
30.25  198  200
30.75  182  183
31.25  198  203
31.75  180  181
32.25  185  185
32.75  183  181
33.25  219  220
33.75  227  229
34.25  242  241
34.75  249  251
35.25  217  218
35.75  239  238
36.25  274  281
36.75  244  252
37.25  270  269
37.75  225  230
38.25  250  252
38.75  214  214
39.25  183  183
39.75  138  139
40.25  113  113
40.75  94  95
41.25  87  86
41.75  60  61
42.25  66  63
42.75  65  66
43.25  47  48
43.75  47  47
44.25  44  43
44.75  34  34
45.25  39  36
45.75  40  43
46.25  24  24
46.75  37  37
47.25  22  23
47.75  24  26
48.25  23  24
48.75  23  23
49.25  23  23
49.75  15  14
50.25  10  9
50.75  11  12
51.25  14  14
51.75  13  12
52.25  7  5
52.75  11  10
53.25  10  10
53.75  8  8
54.25  12  11
54.75  8  7
55.25  4  5
55.75  3  2
56.25  7  8
56.75  8  7
57.25  3  4
57.75  4  4
58.25  5  5
58.75  9  8
59.25  3  1
59.75  3  3
60.25  8  8
60.75  1  1
61.25  4  3
61.75  2  2
62.25  5  5
62.75  4  5
63.25  5  4
63.75  3  3
64.25  2  0
64.75  2  1
65.25  3  4
65.75  0  0
66.25  4  2
66.75  1  1
67.25  4  2
67.75  1  1
68.25  3  2
68.75  4  1
69.25  2  1
69.75  1  1
70.25  2  2
70.75  2  2
71.25  3  2
71.75  2  2
72.25  2  2
72.75  2  1
73.25  1  0
73.75  3  1
74.25  3  3
74.75  2  2
75.25  4  2
75.75  2  1
76.25  1  1
76.75  1  0
77.25  1  0
77.75  0  0
78.25  2  0
78.75  1  1
79.25  0  0
79.75  1  1
80.25  2  0
80.75  2  1
81.25  1  0
81.75  3  1
82.25  2  0
82.75  1  0
83.25  0  0
83.75  2  1
84.25  3  1
84.75  3  2
85.25  2  0
85.75  3  0
86.25  2  2
86.75  4  1
87.25  2  2
87.75  3  2
88.25  4  0
88.75  0  0
89.25  1  0
89.75  4  1
90.25  6  0
90.75  4  0
91.25  2  0
91.75  5  1
92.25  4  1
92.75  7  0
93.25  3  1
93.75  6  0
94.25  6  1
94.75  1  0
95.25  3  3
95.75  2  0
96.25  6  0
96.75  8  1
97.25  7  1
97.75  4  1
98.25  9  0
98.75  3  0
99.25  2  0
99.75  3  0
100.25  5  1
100.75  3  0
101.25  5  1
101.75  4  1
102.25  3  0
102.75  4  0
103.25  5  2
103.75  6  2
104.25  3  0
104.75  3  1
105.25  2  1
105.75  2  0
106.25  4  2
106.75  6  1
107.25  1  0
107.75  2  0
108.25  5  0
108.75  1  0
109.25  2  0
109.75  3  0
110.25  5  0
110.75  63  0
111.25  31  31
111.75  3  0
112.25  160  170
112.75  2  1
113.25  11  2
113.75  7  1
114.25  6  1
114.75  5  0
115.25  7  4
115.75  6  1
116.25  3  1
116.75  5  1
117.25  5  0
117.75  8  0
118.25  6  0
118.75  9  2
119.25  35  2
119.75  67  1
120.25  109  1
120.75  243  2
121.25  236  3
121.75  50588  59342
122.25  71766  64356
122.75  0  0
123.25  0  0
123.75  0  0
124.25  0  0
124.75  0  0
125.25  0  0
125.75  0  0
126.25  0  0
126.75  0  0
127.25  0  0
127.75  0  0
128.25  0  0
128.75  0  0
129.25  0  0
129.75  0  0
