# 能谱 — scratch — 140723 事件, 测得能量(p+读出电极波形平台)
# E_keV(bin中心)  counts_measured  counts_deposited
0.25  579  198
0.75  278  276
1.25  255  240
1.75  302  304
2.25  316  315
2.75  306  303
3.25  305  305
3.75  280  280
4.25  289  291
4.75  267  270
5.25  244  244
5.75  277  279
6.25  248  250
6.75  235  234
7.25  242  246
7.75  242  243
8.25  228  228
8.75  225  223
9.25  232  231
9.75  190  188
10.25  180  182
10.75  207  205
11.25  188  173
11.75  181  182
12.25  228  232
12.75  170  176
13.25  178  176
13.75  160  160
14.25  166  166
14.75  175  178
15.25  160  163
15.75  147  148
16.25  150  149
16.75  151  150
17.25  152  150
17.75  142  147
18.25  134  134
18.75  122  124
19.25  140  145
19.75  118  119
20.25  136  134
20.75  128  129
21.25  138  136
21.75  133  141
22.25  116  112
22.75  141  144
23.25  134  138
23.75  125  121
24.25  133  136
24.75  136  136
25.25  129  130
25.75  141  142
26.25  137  139
26.75  145  151
27.25  166  162
27.75  168  169
28.25  163  161
28.75  147  152
29.25  153  154
29.75  179  177
30.25  198  200
30.75  180  183
31.25  200  203
31.75  179  181
32.25  184  185
32.75  184  181
33.25  218  220
33.75  232  229
34.25  241  241
34.75  248  251
35.25  215  218
35.75  241  238
36.25  272  281
36.75  247  252
37.25  270  269
37.75  226  230
38.25  250  252
38.75  213  214
39.25  185  183
39.75  138  139
40.25  111  113
40.75  94  95
41.25  87  86
41.75  61  61
42.25  66  63
42.75  65  66
43.25  47  48
43.75  49  47
44.25  40  43
44.75  34  34
45.25  37  36
45.75  40  43
46.25  24  24
46.75  37  37
47.25  23  23
47.75  26  26
48.25  23  24
48.75  23  23
49.25  23  23
49.75  15  14
50.25  9  9
50.75  13  12
51.25  14  14
51.75  13  12
52.25  4  5
52.75  11  10
53.25  10  10
53.75  10  8
54.25  11  11
54.75  8  7
55.25  4  5
55.75  2  2
56.25  7  8
56.75  7  7
57.25  4  4
57.75  5  4
58.25  5  5
58.75  10  8
59.25  2  1
59.75  3  3
60.25  7  8
60.75  1  1
61.25  4  3
61.75  5  2
62.25  5  5
62.75  6  5
63.25  3  4
63.75  4  3
64.25  3  0
64.75  1  1
65.25  5  4
65.75  0  0
66.25  5  2
66.75  2  1
67.25  2  2
67.75  2  1
68.25  3  2
68.75  3  1
69.25  2  1
69.75  1  1
70.25  2  2
70.75  3  2
71.25  2  2
71.75  4  2
72.25  2  2
72.75  1  1
73.25  1  0
73.75  1  1
74.25  3  3
74.75  3  2
75.25  4  2
75.75  2  1
76.25  2  1
76.75  1  0
77.25  4  0
77.75  2  0
78.25  1  0
78.75  3  1
79.25  1  0
79.75  2  1
80.25  2  0
80.75  1  1
81.25  1  0
81.75  3  1
82.25  2  0
82.75  1  0
83.25  3  0
83.75  6  1
84.25  1  1
84.75  3  2
85.25  2  0
85.75  4  0
86.25  2  2
86.75  4  1
87.25  2  2
87.75  4  2
88.25  5  0
88.75  3  0
89.25  3  0
89.75  9  1
90.25  8  0
90.75  7  0
91.25  2  0
91.75  4  1
92.25  6  1
92.75  5  0
93.25  8  1
93.75  7  0
94.25  6  1
94.75  4  0
95.25  8  3
95.75  5  0
96.25  7  0
96.75  8  1
97.25  4  1
97.75  11  1
98.25  8  0
98.75  3  0
99.25  10  0
99.75  3  0
100.25  3  1
100.75  4  0
101.25  9  1
101.75  4  1
102.25  4  0
102.75  5  0
103.25  6  2
103.75  4  2
104.25  2  0
104.75  7  1
105.25  3  1
105.75  3  0
106.25  4  2
106.75  5  1
107.25  1  0
107.75  1  0
108.25  5  0
108.75  3  0
109.25  3  0
109.75  4  0
110.25  6  0
110.75  65  0
111.25  31  31
111.75  4  0
112.25  159  170
112.75  5  1
113.25  10  2
113.75  9  1
114.25  7  1
114.75  10  0
115.25  15  4
115.75  6  1
116.25  11  1
116.75  3  1
117.25  17  0
117.75  49  0
118.25  82  0
118.75  137  2
119.25  163  2
119.75  198  1
120.25  249  1
120.75  435  2
121.25  400  3
121.75  51555  59342
122.25  69689  64356
122.75  0  0
123.25  0  0
123.75  0  0
124.25  0  0
124.75  0  0
125.25  0  0
125.75  0  0
126.25  0  0
126.75  0  0
127.25  0  0
127.75  0  0
128.25  0  0
128.75  0  0
129.25  0  0
129.75  0  0
